identifiant_station,nom_station,station_en_fonctionnement,capacité_de_la_station,nombre_bornettes_libres,nombre_total_vélos_disponibles,vélos_mécaniques_disponibles,vélos_électriques_disponibles,borne_de_paiement_disponible,retour_vélib_possible,actualisation_de_la_donnée,coordonnées_géographiques,commune,code_postal
16107,Benjamin Godard - Victor Hugo,True,35,31,4,2,2,True,True,2025-06-03 14:56:11+02:00,"48.865983, 2.275725",Paris,75056
14014,Jourdan - Stade Charléty,True,60,56,3,1,2,True,True,2025-06-03 14:50:25+02:00,"48.819428333369, 2.3433353751898",Paris,75056
9020,Toudouze - Clauzel,True,21,19,2,1,1,True,True,2025-06-03 14:53:29+02:00,"48.87929591733507, 2.3373600840568547",Paris,75056
14111,Cassini - Denfert-Rochereau,True,25,24,0,0,0,True,True,2025-06-03 14:55:51+02:00,"48.837525839067, 2.3360354080796",Paris,75056
8026,Messine - Place Du Pérou,True,12,5,6,4,2,True,True,2025-06-03 14:57:21+02:00,"48.875448033960744, 2.315508019010038",Paris,75056
11104,Charonne - Robert et Sonia Delaunay,True,20,20,0,0,0,True,True,2025-06-03 14:52:40+02:00,"48.855907555969, 2.3925706744194",Paris,75056
13007,Le Brun - Gobelins,True,48,41,5,4,1,True,True,2025-06-03 14:58:34+02:00,"48.835092787824, 2.3534681351338",Paris,75056
6003,Saint-Sulpice,True,21,10,10,7,3,True,True,2025-06-03 14:55:54+02:00,"48.85165383178419, 2.3308077827095985",Paris,75056
5110,Lacépède - Monge,True,23,14,9,6,3,True,True,2025-06-03 14:58:51+02:00,"48.84389286531899, 2.3519663885235786",Paris,75056
7002,Vaneau - Sèvres,True,35,28,5,3,2,True,True,2025-06-03 14:56:14+02:00,"48.848563233059, 2.3204218259346",Paris,75056
6108,Saint-Romain - Cherche-Midi,True,17,16,1,1,0,True,True,2025-06-03 14:54:34+02:00,"48.84708159081946, 2.321374788880348",Paris,75056
7003,Square Boucicaut,True,60,30,29,19,10,True,True,2025-06-03 14:57:35+02:00,"48.851296433665276, 2.325061820447445",Paris,75056
17041,Guersant - Gouvion-Saint-Cyr,True,36,24,11,8,3,True,True,2025-06-03 14:58:13+02:00,"48.88287775178599, 2.287667370814871",Paris,75056
11025,Froment - Bréguet,True,43,24,17,6,11,True,True,2025-06-03 14:58:54+02:00,"48.8570414504784, 2.37289470306807",Paris,75056
5016,Thouin - Cardinal Lemoine,True,17,14,3,1,2,True,True,2025-06-03 14:56:58+02:00,"48.84504716661511, 2.3494647851273465",Paris,75056
17026,Jouffroy d'Abbans - Wagram,True,40,36,4,1,3,True,True,2025-06-03 14:56:10+02:00,"48.881973298352, 2.301132157445",Paris,75056
15047,Morillons - Dantzig,True,52,51,1,0,1,True,True,2025-06-03 14:56:14+02:00,"48.83310149953933, 2.299380004405976",Paris,75056
12109,Mairie du 12ème,True,30,24,5,3,2,True,True,2025-06-03 14:51:30+02:00,"48.840855311763, 2.3875549435616",Paris,75056
6021,Beaux-Arts - Bonaparte,True,20,3,17,7,10,True,True,2025-06-03 14:54:23+02:00,"48.856451985396, 2.3348518833518",Paris,75056
2022,Saint-Fiacre - Poissonière,True,35,17,17,12,5,True,True,2025-06-03 14:57:46+02:00,"48.870828911558, 2.3459213599563",Paris,75056
15202,Bracion - Périphérique,True,30,27,3,1,2,True,True,2025-06-03 14:51:18+02:00,"48.826103771275, 2.3004549373748",Paris,75056
16138,Saint-Cloud - Hippodrome,True,30,14,15,3,12,True,True,2025-06-03 14:57:57+02:00,"48.85772148887421, 2.2549109905958176",Paris,75056
8050,Boétie - Ponthieu,True,45,6,39,23,16,True,True,2025-06-03 14:55:57+02:00,"48.871417284355, 2.3076787590981",Paris,75056
13101,Croulebarde - Corvisart,True,34,29,3,2,1,True,True,2025-06-03 14:56:09+02:00,"48.830981659316855, 2.3481646925210953",Paris,75056
14108,Le Brix et Mesmin - Jourdan,True,21,18,3,1,2,True,True,2025-06-03 14:55:20+02:00,"48.82234096593411, 2.327861653302471",Paris,75056
