;identifiant_station;nom_station;station_en_fonctionnement;capacité_de_la_station;nombre_bornettes_libres;nombre_total_vélos_disponibles;vélos_mécaniques_disponibles;vélos_électriques_disponibles;borne_de_paiement_disponible;retour_vélib_possible;actualisation_de_la_donnée;coordonnées;commune;code_insee;departement;localisation
0;40001;Hôpital Mondor;True;28;13;15;6;9;True;True;2025-06-03 12:53:32+00:00;48.798922410229, 2.4537451531298;Créteil;94028;Val-De-Marne;51 Avenue du Maréchal de Lattre de Tassigny, 94000 Créteil, France
1;16107;Benjamin Godard - Victor Hugo;True;35;31;4;2;2;True;True;2025-06-03 12:56:11+00:00;48.865983, 2.275725;Paris;75056;Paris;2 Rue Benjamin Godard, 75016 Paris, France
2;44015;Rouget de L'isle - Watteau;True;20;9;10;4;6;True;True;2025-06-03 12:56:13+00:00;48.778192750803, 2.3963020229163;Vitry-sur-Seine;94081;Val-De-Marne;77 Avenue Rouget de Lisle, 94400 Vitry-sur-Seine, France
3;14014;Jourdan - Stade Charléty;True;60;56;3;1;2;True;True;2025-06-03 12:50:25+00:00;48.819428333369, 2.3433353751898;Paris;75056;Paris;5 Boulevard Jourdan, 75014 Paris, France
4;9020;Toudouze - Clauzel;True;21;19;2;1;1;True;True;2025-06-03 12:53:29+00:00;48.87929591733507, 2.3373600840568547;Paris;75056;Paris;27 Rue Clauzel, 75009 Paris, France
5;32017;Basilique;True;22;13;7;5;2;True;True;2025-06-03 12:56:06+00:00;48.93626891059109, 2.3588666820200914;Saint-Denis;93066;Seine-Saint-Denis;27 Place du Caquet, 93200 Saint-Denis, France
6;14111;Cassini - Denfert-Rochereau;True;25;24;0;0;0;True;True;2025-06-03 12:55:51+00:00;48.837525839067, 2.3360354080796;Paris;75056;Paris;16b Rue Cassini, 75014 Paris, France
7;8026;Messine - Place Du Pérou;True;12;5;6;4;2;True;True;2025-06-03 12:57:21+00:00;48.875448033960744, 2.315508019010038;Paris;75056;Paris;2 Avenue de Messine, 75008 Paris, France
8;11104;Charonne - Robert et Sonia Delaunay;True;20;20;0;0;0;True;True;2025-06-03 12:52:40+00:00;48.855907555969, 2.3925706744194;Paris;75056;Paris;170b Rue de Charonne, 75011 Paris, France
9;13007;Le Brun - Gobelins;True;48;41;5;4;1;True;True;2025-06-03 12:58:34+00:00;48.835092787824, 2.3534681351338;Paris;75056;Paris;37 Rue Le Brun, 75013 Paris, France
10;6003;Saint-Sulpice;True;21;10;10;7;3;True;True;2025-06-03 12:55:54+00:00;48.85165383178419, 2.3308077827095985;Paris;75056;Paris;15 Rue du Vieux Colombier, 75006 Paris, France
11;5110;Lacépède - Monge;True;23;14;9;6;3;True;True;2025-06-03 12:58:51+00:00;48.84389286531899, 2.3519663885235786;Paris;75056;Paris;25 Rue Lacépède, 75005 Paris, France
12;7002;Vaneau - Sèvres;True;35;28;5;3;2;True;True;2025-06-03 12:56:14+00:00;48.848563233059, 2.3204218259346;Paris;75056;Paris;86 Rue Vaneau, 75007 Paris, France
13;33006;André Karman - République;True;31;24;4;0;4;True;True;2025-06-03 12:57:07+00:00;48.91039875761846, 2.3851355910301213;Aubervilliers;93001;Seine-Saint-Denis;52 Avenue de la République, 93300 Aubervilliers, France
